Accident year,Police force,All accidents
2010,Warwickshire,1506
2010,Derbyshire,2820
2010,Nottinghamshire,3004
2010,Lincolnshire,2434
2010,Leicestershire,2637
2010,Northamptonshire,1329
2010,Cambridgeshire,2551
2010,Norfolk,1796
2010,Suffolk,1812
2010,Bedfordshire,1610
2010,Hertfordshire,2702
2010,Essex,4007
2010,Thames Valley,5572
2010,Hampshire,4809
2010,Surrey,3803
2010,Kent,4837
2010,Sussex,4039
2010,City of London,335
2010,Devon and Cornwall,4281
2010,Avon and Somerset,3816
2010,Gloucestershire,1146
2010,Wiltshire,1279
2010,Dorset,1950
2010,North Wales,1695
2010,Gwent,896
2010,South Wales,2805
2010,Dyfed-Powys,1454
2010,Police Scotland,10287
2011,Metropolitan Police,24113
2011,Cumbria,1256
2011,Lancashire,4072
2011,Merseyside,3023
2011,Greater Manchester,5127
2011,Cheshire,2925
2011,Northumbria,3426
2011,Durham,1383
2011,North Yorkshire,1997
2011,West Yorkshire,5402
2011,South Yorkshire,3408
2011,Humberside,2681
2011,Cleveland,986
2011,West Midlands,5365
2011,Staffordshire,3042
2011,West Mercia,2825
2011,Warwickshire,1508
2011,Derbyshire,2820
2011,Nottinghamshire,2984
2011,Lincolnshire,2355
2011,Leicestershire,2471
2011,Northamptonshire,1252
2011,Cambridgeshire,2416
2011,Norfolk,1864
2011,Suffolk,1851
2011,Bedfordshire,1574
2011,Hertfordshire,2650
2011,Essex,4019
2011,Thames Valley,5722
2011,Hampshire,5000
2011,Surrey,4023
2011,Kent,4867
2011,Sussex,3988
2011,City of London,355
2011,Devon and Cornwall,4251
2011,Avon and Somerset,3537
2011,Gloucestershire,1194
2011,Wiltshire,1413
2011,Dorset,1926
2011,North Wales,1600
2011,Gwent,712
2011,South Wales,2715
2011,Dyfed-Powys,1407
2011,Police Scotland,9969
2012,Metropolitan Police,23721
2012,Cumbria,1245
2012,Lancashire,3939
2012,Merseyside,3050
2012,Greater Manchester,4378
2012,Cheshire,2824
2012,Northumbria,3223
2012,Durham,1248
2012,North Yorkshire,2100
2012,West Yorkshire,5415
2012,South Yorkshire,3155
2012,Humberside,2587
2012,Cleveland,1021
2012,West Midlands,4838
2012,Staffordshire,2858
2012,West Mercia,2568
2012,Warwickshire,1488
2012,Derbyshire,2525
2012,Nottinghamshire,2853
2012,Lincolnshire,2292
2012,Leicestershire,2464
2012,Northamptonshire,1197
2012,Cambridgeshire,2319
2012,Norfolk,1770
2012,Suffolk,1819
2012,Bedfordshire,1478
2012,Hertfordshire,2642
2012,Essex,3935
2012,Thames Valley,5418
2012,Hampshire,4741
2012,Surrey,3967
2012,Kent,4778
2012,Sussex,3908
2012,City of London,376
2012,Devon and Cornwall,4013
2012,Avon and Somerset,3390
2012,Gloucestershire,1078
2012,Wiltshire,1445
2012,Dorset,1861
2012,North Wales,1535
2012,Gwent,741
2012,South Wales,2283
2012,Dyfed-Powys,1412
2012,Police Scotland,9673
2013,Metropolitan Police,22789
2013,Cumbria,1226
2013,Lancashire,3755
2013,Merseyside,2655
2013,Greater Manchester,3861
2013,Cheshire,2561
2013,Northumbria,3054
2013,Durham,1180
2013,North Yorkshire,2025
2013,West Yorkshire,4866
2013,South Yorkshire,2992
2013,Humberside,2578
2013,Cleveland,919
2013,West Midlands,5115
2013,Staffordshire,2804
2013,West Mercia,2256
2013,Warwickshire,1479
2013,Derbyshire,2286
2013,Nottinghamshire,2643
2013,Lincolnshire,2310
2013,Leicestershire,2392
2013,Northamptonshire,1207
2013,Cambridgeshire,2067
2013,Norfolk,1776
2013,Suffolk,1667
2013,Bedfordshire,1302
2013,Hertfordshire,2320
2013,Essex,3856
2013,Thames Valley,5190
2013,Hampshire,4475
2013,Surrey,3793
2013,Kent,4872
2013,Sussex,3948
2013,City of London,308
2013,Devon and Cornwall,3924
2013,Avon and Somerset,3309
2013,Gloucestershire,775
2013,Wiltshire,1477
2013,Dorset,1774
2013,North Wales,1445
2013,Gwent,874
2013,South Wales,2345
2013,Dyfed-Powys,1231
2013,Police Scotland,8979
2014,Metropolitan Police,25682
2014,Cumbria,1397
2014,Lancashire,3879
2014,Merseyside,2831
2014,Greater Manchester,4004
2014,Cheshire,2673
2014,Northumbria,3198
2014,Durham,1242
2014,North Yorkshire,2036
2014,West Yorkshire,5043
2014,South Yorkshire,3168
2014,Humberside,2689
2014,Cleveland,889
2014,West Midlands,5603
2014,Staffordshire,2799
2014,West Mercia,2327
